id,photo_id,current_url,usage_count,prompt
1,photo-1436491865332-7a61a109db05,https://images.unsplash.com/photo-1436491865332-7a61a109db05,1,"Aerial view from an airplane window looking down at the Mexican highlands and patchwork farmland, warm golden light, flying between Mexico City and Guadalajara"
2,photo-1449824913935-59a10b8d2000,https://images.unsplash.com/photo-1449824913935-59a10b8d2000,1,"Charming small Mexican mountain town with rustic wooden-balcony buildings, cobblestone streets, pine trees in the background, artisan shops and cozy cafes, Mazamitla Jalisco style"
3,photo-1449965408869-eaa3f722e40d,https://images.unsplash.com/photo-1449965408869-eaa3f722e40d,5,"Scenic two-lane highway cutting through green Jalisco countryside with rolling hills and blue agave fields on either side, warm afternoon light, road trip from Guadalajara"
4,photo-1470337458703-46ad1756a187,https://images.unsplash.com/photo-1470337458703-46ad1756a187,1,"Intimate cocktail bar interior with warm amber lighting, exposed brick walls, craft cocktails on a wooden bar counter, stylish Mexican speakeasy ambiance in Guadalajara"
5,photo-1501785888041-af3ef285b470,https://images.unsplash.com/photo-1501785888041-af3ef285b470,4,"Breathtaking panoramic landscape of a tranquil Mexican lake surrounded by mountains, golden hour light reflecting on water, lush green hillsides, Lake Chapala Jalisco vibe"
6,photo-1506905925346-21bda4d32df4,https://images.unsplash.com/photo-1506905925346-21bda4d32df4,3,"Cozy rustic wooden cabin nestled among tall pine trees in a misty Mexican mountain forest, cool highland atmosphere, Mazamitla Jalisco retreat"
7,photo-1511497584788-876760111969,https://images.unsplash.com/photo-1511497584788-876760111969,1,"Moody foggy pine forest with tall trees disappearing into mist, dappled light filtering through the canopy, cool mountain atmosphere near Mazamitla Jalisco"
8,photo-1514362545857-3bc16c4c7d1b,https://images.unsplash.com/photo-1514362545857-3bc16c4c7d1b,5,"Close-up of a tequila and mezcal tasting flight, small clay copitas and glass vessels lined up on a rustic wooden board, amber and clear spirits, warm cantina lighting"
9,photo-1516306580123-e6e52b1b7b5f,https://images.unsplash.com/photo-1516306580123-e6e52b1b7b5f,4,"Mariachi musicians in full traditional charro suits with silver embroidery, playing trumpets and guitars in a festive Mexican plaza at dusk, warm string lights overhead"
10,photo-1518105779142-d975f22f1b0a,https://images.unsplash.com/photo-1518105779142-d975f22f1b0a,8,"Beautiful Mexican colonial plaza with a stone fountain centerpiece, manicured gardens, jacaranda trees in purple bloom, neoclassical buildings in the background, Guadalajara Centro"
11,photo-1518638150340-f706e86654de,https://images.unsplash.com/photo-1518638150340-f706e86654de,1,"Ancient circular stepped pyramid ruins on a grassy hilltop, concentric stone rings under a dramatic sky, Guachimontones archaeological site near Guadalajara, wide-angle view"
12,photo-1518659526054-190340b32735,https://images.unsplash.com/photo-1518659526054-190340b32735,3,"Dramatic Mexican cityscape at golden hour, colonial domes and modern buildings mixing on the skyline, warm terracotta rooftops, Guadalajara urban panorama"
13,photo-1521737711867-e3b97375f902,https://images.unsplash.com/photo-1521737711867-e3b97375f902,2,"Modern coworking space with exposed brick and industrial lighting, digital nomads working on laptops at long wooden tables, green plants, bright natural light, Guadalajara cafe style"
14,photo-1522202176988-66273c2fd55f,https://images.unsplash.com/photo-1522202176988-66273c2fd55f,2,"Trendy specialty coffee shop interior with people working on laptops and chatting, natural light streaming through large windows, plants hanging from ceiling, Guadalajara Americana neighborhood"
15,photo-1529333166437-7750a6dd5a70,https://images.unsplash.com/photo-1529333166437-7750a6dd5a70,2,"Romantic couple dining at an elegant candlelit outdoor restaurant patio, string lights, colonial Mexican courtyard setting, wine glasses and Mexican gourmet dishes on the table"
16,photo-1531243269054-5ebf6f34081e,https://images.unsplash.com/photo-1531243269054-5ebf6f34081e,2,"Contemporary art gallery interior with white walls and dramatic spotlighting, bold modern paintings and installations, polished concrete floor, museum atmosphere in Guadalajara"
17,photo-1532634922-8fe0b757fb13,https://images.unsplash.com/photo-1532634922-8fe0b757fb13,1,"Row of craft beer taps at a Mexican microbrewery taproom, amber and golden beers in pint glasses on a reclaimed wood bar, chalkboard menu in background, industrial decor"
18,photo-1544620347-c4fd4a3d5957,https://images.unsplash.com/photo-1544620347-c4fd4a3d5957,5,"Mexican public transit light rail train at a modern station platform, urban Guadalajara setting, commuters boarding, clean architecture with tiled walls"
19,photo-1551504734-5ee1c4a1479b,https://images.unsplash.com/photo-1551504734-5ee1c4a1479b,3,"Steaming plate of birria tacos with rich red consomé dipping broth on the side, corn tortillas glistening with chili oil, diced onion and cilantro garnish, authentic Guadalajara street food close-up"
20,photo-1554672723-b208dc85134f,https://images.unsplash.com/photo-1554672723-b208dc85134f,2,"Colorful Mexican market scene with stacks of pesos and produce in the foreground, vibrant fruit stands and hanging piñatas, budget-friendly Guadalajara mercado atmosphere"
21,photo-1555854877-bab0e564b8d5,https://images.unsplash.com/photo-1555854877-bab0e564b8d5,1,"Lively hostel common area with colorful hammocks and mismatched furniture, backpackers socializing and playing guitar, Mexican tile floors, courtyard with tropical plants"
22,photo-1559339352-11d035aa65de,https://images.unsplash.com/photo-1559339352-11d035aa65de,1,"Romantic candlelit dinner table set for two in an upscale Mexican restaurant, flickering candles, elegant plating, exposed stone walls, intimate warm atmosphere in Guadalajara"
23,photo-1561059488-916d69792237,https://images.unsplash.com/photo-1561059488-916d69792237,3,"Large colorful street mural covering an entire building wall, bold Mexican folk art motifs mixed with contemporary graffiti style, vibrant blues, reds, and yellows, Guadalajara street art"
24,photo-1565193566173-7a0ee3dbe261,https://images.unsplash.com/photo-1565193566173-7a0ee3dbe261,2,"Display of traditional Mexican Talavera pottery and hand-painted ceramics, colorful plates, bowls, and vases in blues, yellows, and greens, artisan gallery in Tlaquepaque"
25,photo-1565299585323-38d6b0865b47,https://images.unsplash.com/photo-1565299585323-38d6b0865b47,1,"Close-up of an authentic torta ahogada drowned in spicy red chile de arbol sauce, crusty birote bread split open, served on a plate with pickled onions, Guadalajara iconic street food"
26,photo-1568402102990-bc541580b59f,https://images.unsplash.com/photo-1568402102990-bc541580b59f,10,"Vibrant pedestrianized Mexican street lined with colorful colonial buildings in pink, yellow, and terracotta, artisan shop entrances with hanging crafts, bougainvillea cascading from balconies, Tlaquepaque Guadalajara"
27,photo-1569529465841-dfecdab7503b,https://images.unsplash.com/photo-1569529465841-dfecdab7503b,5,"Row of premium tequila bottles displayed on a distillery shelf, amber reposado and dark añejo varieties, rustic wooden shelving, warm backlight, traditional Jalisco tequila distillery"
28,photo-1570737543098-1305f902a22c,https://images.unsplash.com/photo-1570737543098-1305f902a22c,5,"Stunning sunset over a vast Mexican lake with silhouetted mountains in the background, orange and purple sky reflected on calm water, Lake Chapala Jalisco golden hour"
29,photo-1572116469696-31de0f17cc34,https://images.unsplash.com/photo-1572116469696-31de0f17cc34,11,"Lively Mexican avenue at night with neon bar signs, outdoor terraces packed with people, warm street lighting, pedestrians strolling past hip bars and restaurants, Chapultepec Guadalajara nightlife"
30,photo-1578301978693-85fa9c0320b9,https://images.unsplash.com/photo-1578301978693-85fa9c0320b9,3,"Dramatic Mexican mural fresco painting on a wall or ceiling, bold Orozco-style figures depicting revolution and history, rich earth tones and fiery oranges, Guadalajara muralism"
31,photo-1582719508461-905c673771fd,https://images.unsplash.com/photo-1582719508461-905c673771fd,8,"Elegant Mexican colonial courtyard with arched stone colonnades, potted tropical plants, a central fountain, warm ochre and terracotta walls, boutique hotel or historic building in Guadalajara"
32,photo-1585975421498-1e339f0e5c5b,https://images.unsplash.com/photo-1585975421498-1e339f0e5c5b,14,"Guadalajara Cathedral twin towers rising above a bustling colonial street, pedestrians walking on cobblestones, colorful shopfronts, warm afternoon sunlight, Centro Historico atmosphere"
33,photo-1596392927852-2a18e07e3e9b,https://images.unsplash.com/photo-1596392927852-2a18e07e3e9b,4,"Overflowing Mexican market stall piled high with tropical fruits — mangoes, papayas, guavas, and pitayas — vibrant colors under a corrugated tin roof, lively mercado atmosphere"
34,photo-1599058917212-d750089bc07e,https://images.unsplash.com/photo-1599058917212-d750089bc07e,3,"Busy pedestrian street in a Mexican city center, crowds of people walking past storefronts and street vendors, colonial architecture on both sides, midday energy in Guadalajara Centro"
35,photo-1599974579688-8dbdd335c77f,https://images.unsplash.com/photo-1599974579688-8dbdd335c77f,6,"Sizzling Mexican street tacos being prepared on a flat-top grill at an outdoor food stall, corn tortillas, chopped carne asada, smoke rising, condiment bottles lined up, nighttime taco stand lighting"
36,photo-1605216663980-3a58e01b2b4c,https://images.unsplash.com/photo-1605216663980-3a58e01b2b4c,2,"Ornate Mexican baroque church facade — the Basilica of Zapopan — with carved stone details, twin bell towers, and a large plaza in front, clear blue sky, Zapopan Guadalajara"
37,photo-1605216663980-3a58e01b4b4c,https://images.unsplash.com/photo-1605216663980-3a58e01b4b4c,7,"Beautiful Mexican colonial church with a stone facade and bell tower, surrounded by a cobblestone plaza with wrought-iron benches, warm golden hour light, Guadalajara historic architecture"
38,photo-1613764974803-ff89d4be09d2,https://images.unsplash.com/photo-1613764974803-ff89d4be09d2,5,"Aerial view of the circular stepped pyramids of Guachimontones on a green hilltop, concentric stone rings surrounded by grass, dramatic cloud-filled sky, ancient Jalisco archaeological site"
39,photo-1624371414361-e670246ae8ec,https://images.unsplash.com/photo-1624371414361-e670246ae8ec,1,"Freshly made golden churros dusted with cinnamon sugar on a paper-lined tray, drizzled with cajeta caramel, Mexican market snack stall in the background"
40,photo-1629216432687-3e2e0ee35fe5,https://images.unsplash.com/photo-1629216432687-3e2e0ee35fe5,6,"Endless rows of blue agave plants stretching to the horizon under a dramatic sky, red volcanic soil, the town of Tequila visible in the distance, Jalisco agave landscape"
41,photo-1667675068275-d822c63b1217,https://images.unsplash.com/photo-1667675068275-d822c63b1217,8,"Bustling indoor Mexican mercado with crowded aisles, stalls overflowing with dried chiles, spices, piñatas, and produce, overhead fluorescent lights, Latin America's largest indoor market atmosphere"
